,o1__spkt_welch_density__coeff_5,o2__spkt_welch_density__coeff_5,t3__energy_ratio_by_chunks__num_segments_10__segment_focus_8,t3__spkt_welch_density__coeff_8,t4__fourier_entropy__bins_100,t3__spkt_welch_density__coeff_5,o1__spkt_welch_density__coeff_8,o2__spkt_welch_density__coeff_8,t3__energy_ratio_by_chunks__num_segments_10__segment_focus_7,o1__energy_ratio_by_chunks__num_segments_10__segment_focus_8,o2__fourier_entropy__bins_100,t4__spkt_welch_density__coeff_8,o2__energy_ratio_by_chunks__num_segments_10__segment_focus_8,t4__energy_ratio_by_chunks__num_segments_10__segment_focus_8,o1__fourier_entropy__bins_100,t3__fourier_entropy__bins_100,t4__spkt_welch_density__coeff_5,t3__partial_autocorrelation__lag_2,"t3__agg_autocorrelation__f_agg_""var""__maxlag_40",t4__energy_ratio_by_chunks__num_segments_10__segment_focus_7,t3__energy_ratio_by_chunks__num_segments_10__segment_focus_6,t4__energy_ratio_by_chunks__num_segments_10__segment_focus_6,o2__energy_ratio_by_chunks__num_segments_10__segment_focus_6,o1__energy_ratio_by_chunks__num_segments_10__segment_focus_6,"o1__fft_coefficient__attr_""abs""__coeff_30","o2__agg_autocorrelation__f_agg_""var""__maxlag_40","o2__fft_coefficient__attr_""abs""__coeff_25"
0,4.266967875836002e-10,8.893752387186254e-10,0.008503765075074627,1.216048847765161e-09,0.13600216966487969,1.9512361950525165e-09,7.803612439366662e-10,1.2483661712261847e-10,0.0018475480051049497,0.007759354011650052,0.13600216966487969,3.7960460537238855e-10,0.006281906345725539,0.0095349314000917,0.18121382170440362,0.18121382170440362,1.8217931437987557e-09,-0.8008894600118378,0.06667468563580795,0.00108630258366396,0.0006050750555409963,0.0002696073479530454,0.00031468810524452694,0.0008470245470130327,0.0005484101839785312,0.05731643071321787,0.0013359887192148955
1,1.1401904882652745e-09,9.70223101572116e-10,0.01224550587448496,9.274593535367996e-10,0.13600216966487969,1.7840583024153517e-09,5.342053840487034e-10,2.934916266051114e-10,0.0032770592693684487,0.02520949169612704,1.020661607804394,1.1189416674670758e-09,0.030165537692244247,0.01242614893428237,0.7044663496439524,0.21561698966287776,5.151835999385755e-10,-0.6827212859428713,0.058919099267582174,0.0017941023639808844,0.0005635233409866194,0.000361400116940339,0.004404026267984002,0.00259532833807255,0.0015211639814343174,0.053742808318780325,0.0028499355704987416
2,8.534129652405606e-10,6.312513687822373e-10,0.002056648807081999,8.01119575764984e-10,0.13600216966487969,1.4614888166075758e-09,8.671880547877134e-10,7.516557687768014e-10,0.0009286422140059148,0.0027580298359108227,0.13600216966487969,7.469859342464979e-10,0.002886334246565345,0.0009528125482001258,0.18121382170440362,0.13600216966487969,1.3751670916899835e-09,-0.7787555614420578,0.045156340021033275,0.0005350100121112001,0.0005721012623919415,0.00033639299213688613,0.00022308358175976607,0.0006527041621717394,0.00544079811704423,0.05154844007762092,0.012147206242328165
3,5.690785269035057e-10,7.465785085378206e-10,0.002362643447120346,1.1083101731395986e-09,0.13600216966487969,1.4234531736294797e-09,1.4156120615258537e-09,6.349022036638045e-10,0.0009876988124671625,0.0029893327768674427,0.13600216966487969,6.393216734590799e-10,0.0034311077210736375,0.0014438394675879778,0.13600216966487969,0.13600216966487969,2.8105513767679836e-09,-0.8003688048354265,0.05073363597839744,0.00027110315839956324,0.0009857669245244636,7.085353371828129e-05,0.00026471078899705533,0.0005538711236738211,0.007435520201862915,0.048219512104206365,0.010048989148188602
4,7.066420373480553e-10,6.896950813393614e-10,0.012778115744231858,6.808861519471199e-10,0.22636345757853585,2.3342180912633838e-09,3.30300639085471e-10,6.090610163000496e-10,0.006996719150041677,0.007284432672877415,0.13600216966487969,4.2768003424609587e-10,0.00786937688830853,0.023439963146099616,0.21561698966287776,0.2607041092304531,1.0742439498135097e-09,-0.6106624638968151,0.04501220500754621,0.0035306078406296382,0.005760056046621544,0.0013818167289870796,0.0008800413195406471,0.002811810936270535,0.0028635769822890917,0.06729080995296757,0.009771641599896009
5,8.399451175271541e-10,8.235233424378001e-10,0.018701069526554842,1.3218866563249636e-09,0.22636345757853585,3.859200159919287e-09,1.1567367471165277e-09,7.772670065238426e-10,0.004115046392566678,0.04011928477991511,0.24590145415382958,3.683277119012811e-10,0.06226181956173225,0.01580449473006107,0.8719103636989132,0.6904538334007098,6.514389178742952e-10,-0.7000593896612461,0.06894553299519232,0.0020998460280961203,0.0009691436234230882,0.00044760398616126466,0.0028588224766174617,0.0039767678619917965,0.0009312679064817554,0.04658369236375561,0.0024454470694150045
6,5.481587949274478e-10,6.255811947641946e-10,0.012876542750102126,6.635770043543493e-10,0.13600216966487969,2.191177485485648e-09,7.004006976344506e-10,7.178938957161382e-10,0.00118835636874009,0.007763118702888662,0.18121382170440362,4.794423460663301e-10,0.011522591349990067,0.008750761293628721,0.18121382170440362,0.13600216966487969,6.527814953679414e-10,-0.7314543091332436,0.06493111612319757,0.0011445235734021042,0.0013195570510967313,0.00017860889540876154,0.0004112905104208325,0.0008097561335414983,0.006301582876614886,0.0612902562221385,0.009836475694636422
7,9.493913284424875e-10,8.639848337534295e-10,0.013657985367482141,1.198976049087831e-09,0.22636345757853585,2.2272869110498615e-09,1.3058151280355415e-09,8.969891793690684e-10,0.0011571322367960738,0.01300814495567695,0.2156169896628778,4.5307422962113297e-10,0.005682091534035883,0.014425051634888574,0.7627914769184171,0.70259536650681,3.51757007086978e-10,-0.7611074189092004,0.0762414882679765,0.0018538450466964605,0.00203964677194218,0.00037919571950294917,0.0007505816835332683,0.0037603993843502437,0.0010731284250118094,0.04649392602548494,0.0012489762094989546
8,8.790704620583285e-10,8.468505609795841e-10,0.00417408902444556,3.73650772017776e-09,0.13600216966487969,3.986562580443269e-09,1.2937020412788036e-09,8.990177999084506e-10,0.0007187325521344609,0.012586816491747654,1.2398575905610871,8.544632386851783e-10,0.022504621655522142,0.0030326777297062825,0.6074380477891967,0.22636345757853582,1.1312754718176003e-09,-0.6811601079106442,0.05638995785058833,0.0004076255082984034,0.000494972901033312,0.00012048037252421904,0.008778028150667416,0.0050130663952196635,0.0033751489231097177,0.03730177788034754,0.0019132103300471095
9,8.745872872987618e-10,6.231390095242319e-10,0.011812726294702678,1.830918058889475e-09,0.13600216966487969,3.762893416148726e-09,1.8522290984941543e-09,1.6327215955507587e-09,0.0038770425406076093,0.013019628984253889,0.8857598105037129,9.844350459039886e-10,0.016121342119596965,0.010233242454900983,0.8794861374856352,0.3439503989661991,7.48286050251416e-10,-0.7425639327580744,0.07691193117079276,0.001589072373529629,0.0009737684049147803,0.000276804315720982,0.0019539817313293517,0.0026912771479493656,0.004196944007170262,0.06071908659172258,0.0039986244837985395
